OBJECTID,Census_Tract,EHD_Rank,SHAPE_Length,SHAPE_Area
779,53033026300,10,25916.411930537,11427293.1877071
780,53033026200,10,26191.7382206481,34475689.8121644
781,53033026100,10,16943.4972087117,9440100.29110541
782,53033026001,9,14802.6359494523,6016907.19495586
783,53033021500,5,13486.8212089925,8622312.40181063
784,53033021400,4,16713.4535322408,7509812.22530988
785,53033021300,7,12708.1552188322,6631846.56135782
786,53033001702,7,7912.79442962996,2824307.83022381
787,53033004302,7,3626.85543968305,728709.337643335
788,53033004301,5,7786.35243401822,2158338.57415012
789,53033007402,10,3191.83255878476,548320.584952177
790,53033010002,8,6347.08125763039,2082421.51711849
791,53033010001,10,11396.9453933598,5080459.23681521
792,53033011002,10,10356.4176937054,3675810.29969119
793,53033010402,9,9176.30315591246,3947067.44163329
794,53033010702,10,7024.10261353558,1721334.35656834
795,53033011402,10,7814.38735798439,2599417.16300248
796,53033022605,7,17452.1945297109,10426966.4846543
797,53033022902,3,18346.3501923936,11261788.1467099
798,53033024602,6,15632.6033335917,11921079.4155493
799,53033025803,9,7537.02611425365,2936307.47515653
800,53033031601,5,27412.8682742986,32827323.1164216
801,53033031603,2,66883.9848362507,125123504.807775
802,53033032103,6,22716.2728070717,8884632.17020001
803,53033025001,7,17633.0493548173,7806503.79342736
804,53033032401,1,66254.1944860755,126004588.115057
805,53033032402,2,42741.8057391782,56870318.9396688
806,53033031501,4,130838.879915366,355479058.281686
807,53033021100,9,9676.6487395159,5789237.54320867
808,53033021000,7,9771.7376129765,5800126.58408694
809,53033020900,5,15322.0561557814,11980352.4875147
810,53033020800,3,16527.6687927411,8413272.11276301
811,53033020700,7,8459.2282619871,3783656.26759396
812,53033020600,4,8804.56616406717,4366343.85140992
813,53033020500,6,10593.5722016432,6018793.80223241
814,53033011401,9,7888.74080797532,2703270.53285288
815,53033025302,10,25640.4268587377,14005605.5330664
816,53033025806,10,13051.4563570877,6743285.15956186
817,53033027701,3,54958.7291906484,117887593.939668
818,53033032326,5,30325.1725987633,23095034.4419132
819,53033032327,3,31109.3208257454,35833476.23829
820,53033023404,2,15691.6735967165,8043467.05659442
821,53033023403,4,16811.7464066879,11599372.6305534
822,53033023804,6,7780.67515644412,2685028.11312694
823,53033023201,5,8405.74679388976,3496854.74992586
824,53033023900,6,27288.8848470644,19489228.521842
825,53033032322,1,15288.3770263876,10214809.7957351
826,53033032321,5,26487.294734813,27976263.7534317
827,53033021804,5,11724.072638786,6785678.95162357
828,53033022101,2,17280.8875045775,11590228.9477388
829,53033025003,3,21286.9492791712,13939822.380152
830,53033022701,6,12189.8533643764,4673934.59911485
831,53033032008,3,11142.4104629147,5341466.91523154
832,53033032208,4,24357.8185677216,27048265.2300137
833,53033020402,7,11444.1259281984,6163358.1123333
834,53033020401,8,11422.2261847583,5117634.3681513
835,53033020300,7,9595.5483126637,5757580.99029097
836,53033020200,4,9968.58771004408,5734689.18079647
837,53033020100,2,9321.30545714604,5436647.33185632
838,53033012100,3,13633.6349717521,6835379.31681133
839,53033023803,5,5420.87809855099,1240507.25626389
840,53033025006,4,31594.1336624717,49085223.2553577
841,53033025005,7,18748.9223065926,16846949.6815773
842,53033025602,7,17166.2593619095,11387638.1597463
843,53033029206,10,31257.7599858141,38034855.4666169
844,53033029102,10,11284.4343279236,5629978.61665652
845,53033029101,10,17470.7066587224,7677433.04112563
846,53033030006,10,8419.41259957531,4673281.06822241
847,53033030314,9,9200.71114383698,5443263.93318229
848,53033030313,10,15156.7081679339,8698011.42483595
849,53033031605,2,30121.3712504744,36876371.8299637
850,53033024100,3,17422.8176210766,13408396.5571488
851,53033022703,4,12520.4929219647,9268801.68913976
852,53033024200,2,33041.1025168278,32650240.1596867
853,53033022203,7,13819.0418357777,8442158.05851073
854,53033024800,8,19121.1905592916,8290970.01212028
855,53033024902,7,12630.1478852194,4456081.93114338
856,53033024903,6,19702.5092115498,10889748.3877282
857,53033025102,4,17897.347092909,13645581.9278502
858,53033031903,4,27811.705208645,25682740.1245174
859,53033031904,4,32151.6047941874,41790838.319535
860,53033031906,6,25051.7706304605,24787156.7604222
861,53033031301,6,45873.0810141011,72216023.8161451
862,53033031100,9,19998.9092729173,16163603.9749707
863,53033031000,2,24848.0978316766,27693084.2836929
864,53033030902,9,14363.0972566696,8582659.11163378
865,53033030901,10,13441.6844244992,6778877.1392311
866,53033030802,9,8447.8955198051,2982012.70471383
867,53033030801,10,23716.7833482481,15225987.8085758
868,53033012000,5,7816.52270471085,3171163.54503892
869,53033011900,9,22552.6835989289,9847301.07731543
870,53033010900,10,17335.2055495291,11103437.9066551
871,53033010800,10,15656.4891504329,9705540.57987801
872,53033010600,5,14200.3963426928,7483642.79668528
873,53033010500,5,8645.98397166595,3769924.33774521
874,53033010300,8,8829.46946473994,3642890.94628359
875,53033031604,5,13501.8037438928,9053640.74194512
876,53033032011,3,12639.3783722397,7945878.74655817
877,53033031706,8,13272.0195236923,9101045.39910187
878,53033032215,4,31574.9035397719,35223401.2843279
879,53033032329,4,20744.9341840831,21320977.9634533
880,53033032328,4,23700.1789226302,18738480.8527447
881,53033001701,9,7773.67645393972,1969530.97592259
882,53033007401,7,3768.24379263646,570631.713489871
883,53033032317,2,14557.3677593364,9668152.81610437
884,53033032315,1,54361.0184091872,101018062.323266
885,53033032319,3,21741.5562535911,15069722.4744651
886,53033021906,5,15357.4322869982,8442876.41978358
887,53033021905,7,14528.9702801527,5930307.87817146
888,53033032307,4,26327.2020141224,26314939.6766743
889,53033032311,1,34921.3079258665,52123754.2296322
890,53033032324,7,11476.6678538499,4517091.90035082
891,53033022801,7,14228.5730461962,10712823.955968
892,53033030700,10,7899.91873263573,3397631.29480039
893,53033030600,9,16887.3286199961,7453937.5803714
894,53033030504,8,8528.69862585387,3408164.34265702
