"","Date","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"211",2018-10-08,31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"212",2018-10-09,25,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"213",2018-10-10,16,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"214",2018-10-11,24,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"215",2018-10-12,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"216",2018-10-13,31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"217",2018-10-15,38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"218",2018-10-16,20,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"219",2018-10-17,34,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"220",2018-10-18,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"221",2018-10-19,42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"222",2018-10-20,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"223",2018-10-21,29,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"224",2018-10-22,31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"225",2018-10-23,37,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"226",2018-10-24,34,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"227",2018-10-25,25,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"228",2018-10-26,21,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"229",2018-10-27,26,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"230",2018-10-28,36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"231",2018-10-29,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"232",2018-10-30,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"233",2018-10-31,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"234",2018-03-01,42,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"235",2018-03-05,44,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"236",2018-03-06,38,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"237",2018-03-07,38,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"238",2018-03-08,41,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"239",2018-03-09,45,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"240",2018-03-10,47,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"241",2018-03-11,41,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"242",2018-03-12,43,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"243",2018-03-13,43,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"244",2018-03-14,43,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"245",2018-03-16,61,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"246",2018-03-17,50,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"247",2018-03-18,44,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"248",2018-03-19,43,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"249",2018-03-20,38,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"250",2018-03-21,36,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"251",2018-03-23,49,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"252",2018-03-24,43,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"253",2018-03-25,45,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"254",2018-03-26,46,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"255",2018-03-27,43,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"256",2018-03-28,42,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"257",2018-03-29,49,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"258",2018-03-30,41,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"259",2018-04-01,46,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"260",2018-04-03,47,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"261",2018-04-04,44,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"262",2018-04-05,48,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"263",2018-04-06,54,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"264",2018-04-07,42,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"265",2018-04-08,45,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"266",2018-04-09,34,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"267",2018-04-10,44,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"268",2018-04-11,44,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"269",2018-04-12,64,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"270",2018-04-13,84,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"271",2018-04-14,45,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"272",2018-04-15,41,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"273",2018-04-17,64,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"274",2018-04-18,77,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"275",2018-04-19,42,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"276",2018-04-20,61,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"277",2018-04-21,74,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"278",2018-04-22,49,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"279",2018-04-23,48,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"280",2018-04-24,40,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"281",2018-04-25,40,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"282",2018-04-26,39,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"283",2018-04-27,48,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"284",2018-04-28,67,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"285",2018-04-29,45,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"286",2018-04-30,54,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"287",2018-05-01,80,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"288",2018-05-02,87,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"289",2018-05-03,84,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"290",2018-05-04,49,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"291",2018-05-05,45,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"292",2018-05-06,47,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"293",2018-05-07,54,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"294",2018-05-08,51,"Linville Falls","Ozone","Avery",35.972347,-81.933072
